subject,predicate,object
kwgr:publicHealthObservableProperty.socialVulnerabilityIndex,relatedTo,kwg-ont:VulnerabilityObservableProperty
kwg-ont:MagnitudeObservation,sosa:phenomenonTime,time:TemporalEntity
Collection,sosa:phenomenonTime,time:TemporalEntity
kwg-ont:StormTrackletObservationCollection,sosa:hasMember,kwg-ont:StormTrackletObservation
kwgr:roadType.C;,relatedTo,kwg-ont:RoadType
kwgr:roadType.I;,relatedTo,kwg-ont:RoadType
kwgr:roadType.M;,relatedTo,kwg-ont:RoadType
kwgr:roadType.O;,relatedTo,kwg-ont:RoadType
kwgr:roadType.S;,relatedTo,kwg-ont:RoadType
kwgr:roadType.U,relatedTo,kwg-ont:RoadType
kwg-ont:StormTracklet,geo:hasGeometry;,geo:Geometry
kwg-ont:StormTracklet,geo:hasDefaultGeometry,geo:Geometry
kwg-ont:MTBSWildlandFireUse,relatedTo,kwg-ont:WildlandFireUse
kwg-ont:BlueskyWildfireObservationCollection,sosa:phenomemonTime,time:Instant
kwg-ont:RoadSegment,nan,kwg-ont:RoadSegmentNode
kwg-ont:GeometryCollection,nan,geo:SpatialObject
kwg-ont:Cell,kwg-ont:spatialRelation,geo:Feature
kwg-ont:EarthquakeObservation,sosa:hasFeatureOfInterest,kwg-ont:Earthquake
Collection,sosa:hasFeatureOfInterest,kwg-ont:Earthquake
kwg-ont:SoilMapUnit,kwg-ont:hasGeometry,kwg-ont:GeometryCollection
kwg-ont:SmokePlumeSnapshot,relatedTo,sosa:FeatureOfInterest
kwg-ont:StormTrackletObservation,sosa:observedProperty,kwg-ont:StormTrackletObservableProperty
kwg-ont:USCensusMSA,kwg-ont:typeOfLSAD,kwg-ont:LSADArea
kwg-ont:CroplandObservationCollection,sosa:hasMember,kwg-ont:CroplandObservation
kwg-ont:ClimateDivision,kwg-ont:mean;,kwg-ont:Quantity
kwg-ont:ClimateDivision,kwg-ont:value,kwg-ont:Quantity
ObservationResult,kwg-ont:mean;,kwg-ont:Quantity
ObservationResult,kwg-ont:value,kwg-ont:Quantity
kwg-ont:MTBSFireObservationCollection,sosa:hasFeatureOfInterest,kwg-ont:MTBS_Fire
kwg-ont:ClimateDivision,sosa:hasMember,kwg-ont:ClimateDivisionProperty
kwg-ont:ClimateDivision,sosa:hasMember,ObservationCollection
ObservationCollection,sosa:hasMember,kwg-ont:ClimateDivisionProperty
ObservationCollection,sosa:hasMember,ObservationCollection
kwg-ont:AirQualitySite,relatedTo,geo:Feature
kwg-ont:Fire,relatedTo,kwg-ont:Fire
kwg-ont:DroughtZoneOverlapObservationCollection,kwg-ont:compositePercentageInformation,rdfs:literal
kwg-ont:AirQualitySite,sosa:hosts,kwg-ont:AirQualityInstrument
kwg-ont:Earthquake,geo:hasGeometry;,geo:Geometry
kwg-ont:Earthquake,geo:hasDefaultGeometry,geo:Geometry
kwg-ont:SmokePlumeObservation,sosa:phenomenonTime,time:Instant
kwg-ont:NIFCFireObservation,sosa:phenomenonTime,time:Instant
kwgr:mtbsFireObservableProperty.StandardDeviationOfMeandNBRValue;,relatedTo,kwg-ont:MTBSFireObservableProperty
kwgr:mtbsFireObservableProperty.NumberOfAcresBurned;,relatedTo,kwg-ont:MTBSFireObservableProperty
mtbsFireObservableProperty.MeandNBRValue,relatedTo,kwg-ont:MTBSFireObservableProperty
kwg-ont:Hazard,nan,geo:Feature
kwg-ont:NOAAHazardEvent,relatedTo,kwg-ont:Hazard
kwg-ont:StormTrack,kwg-ont:hasTemporalScope,time:Interval
kwg-ont:StormTrackObservation,sosa:observedProperty,kwg-ont:StormTrackObservableProperty
kwg-ont:CroplandResult,qudt:value,xsd:double
kwgr:earthquakeObservableProperty.PM10;,relatedTo,kwg-ont:AirPollutant
kwgr:airQualityObservableProperty.PM25;,relatedTo,kwg-ont:AirPollutant
kwgr:airQualityObservableProperty.Pb;,relatedTo,kwg-ont:AirPollutant
kwgr:airQualityObservableProperty.CO;,relatedTo,kwg-ont:AirPollutant
kwgr:airQualityObservableProperty.NO2;,relatedTo,kwg-ont:AirPollutant
kwgr:airQualityObservableProperty.Ozone;,relatedTo,kwg-ont:AirPollutant
kwgr:airQualityObservableProperty.SO2,relatedTo,kwg-ont:AirPollutant
kwg-ont:MTBS_Fire,kwg-ont:hasTemporalScope,time:TemporalEntity
kwg-ont:MTBS_Fire,geo:hasGeometry;,geo:Geometry
kwg-ont:MTBS_Fire,geo:hasDefaultGeometry,geo:Geometry
kwg-ont:SmokePlumeSnapshot,kwg-ont:hasTemporalScope,time:Instant
gnis:State,gnis:stateId;,xsd:string
gnis:State,gnis:stateCode;,xsd:string
gnis:State,gnis:stateName,xsd:string
kwg-ont:ClimateObservation,sosa:resultTime,xsd:dateTime
kwg-ont:NIFCFire,kwg-ont:hasTemporalScope,time:TemporalEntity
kwg-ont:MTBSComplexFire,relatedTo,kwg-ont:ComplexFire
usgs:Arch,relatedTo,usgs:Terrain
usgs:Bar;,relatedTo,usgs:Terrain
kwg-ont:Hospital,kwg-ont:spatialRelation,kwg-ont:S2Cell
kwg-ont:CroplandObservation,sosa:observedProperty,kwg-ont:CroplandObservableProperty
kwgr:magnitudeObservableProperty.fujitaScale;,relatedTo,kwg-ont:MagnitudeObservable
kwgr:magnitudeObservableProperty.fujitaScale;,relatedTo,Property
kwgr:magnitudeObservableProperty.length;,relatedTo,kwg-ont:MagnitudeObservable
kwgr:magnitudeObservableProperty.length;,relatedTo,Property
kwgr:magnitudeObservableProperty.width;,relatedTo,kwg-ont:MagnitudeObservable
kwgr:magnitudeObservableProperty.width;,relatedTo,Property
kwgr:magnitudeObservableProperty.estimatedSustainedWind,relatedTo,kwg-ont:MagnitudeObservable
kwgr:magnitudeObservableProperty.estimatedSustainedWind,relatedTo,Property
kwgr:magnitudeObservableProperty.windEstimatedGust,relatedTo,kwg-ont:MagnitudeObservable
kwgr:magnitudeObservableProperty.windEstimatedGust,relatedTo,Property
kwgr:magnitudeObservableProperty.measuredSustainedWind;,relatedTo,kwg-ont:MagnitudeObservable
