Subject,Predicate,Object
Agent,hasAgentRecord,AgentRecord
Agent,hasExternalReference,ExternalReference
Agent,hasName,xsd:string
AgentRecord,hasTemporalExtent,TemporalExtent
AgentRecord,recordedAt,Event
AgentRecord,temporalExtentContains,xsd:date
AgeRecord,hasAgeValue,xsd:double
AgeRecord,hasValue,AgeCategory.txt
AgeRecord,subClassOf,AgentRecord
Event,hasEventType,EventTypes.txt
Event,hasExternalReference,ExternalReference
Event,hasName,xsd:string
Event,hasTemporalExtent,TemporalExtent
Event,providesParticipantRole,ParticipantRoleRecord
Event,subEventOf,Event
ExternalReference,refersTo,ExternalReferent
ExternalReference,withID,xsd:string
InterAgentRelationshipRecord,hasInterAgentRelationshipType,InterAgentRelationshipTypes.txt
InterAgentRelationshipRecord,isRelationshipFrom,Agent
InterAgentRelationshipRecord,isRelationshipTo,Agent
InterAgentRelationshipRecord,subClassOf,AgentRecord
OccupationRecord,hasValue,Occupations.txt
OccupationRecord,subClassOf,AgentRecord
NameVariant,fullNameAsString,xsd:string
NameVariant,hasFirstnameAsString,xsd:string
NameRecord,hasNameVariant,NameVariant
NameRecord,hasPreferredNameVariant,NameVariant
NameVariant,hasSurnameAsString,xsd:string
NameRecord,subClassOf,AgentRecord
ParticipantRoleRecord,hasParticipantRoleType,ParticipantRoleTypes.txt
ParticipantRoleRecord,roleProvidedBy,Event
ParticipantRoleRecord,subClassOf,AgentRecord
SexRecord,hasValue,sexTypes.txt
SexRecord,subClassOf,AgentRecord
TemporalExtent,contains,xsd:date
TemporalExtent,endsAt,xsd:date
TemporalExtent,fallsWithin,Timespan
TemporalExtent,occursAfter,xsd:date
TemporalExtent,occursBefore,xsd:date
TemporalExtent,startsAt,xsd:date
Timespan,endsAt,xsd:date
Timespan,startsAt,xsd:date
Timespan,subClassOf,TemporalExtent
